title,tier,image_filename,frame,hint_1,hint_2
Dick Tracy,Medium,Dick_Tracy.jpg,first,"Thirty seconds, no more Dick! Thirty seconds, no more Dick!",
Die Hard,Hard,Die_Hard.jpg,last,"Now I have a machine gun. Ho ho ho.",
Django Unchained,Easy,Django_Unchained.jpg,last,"I like the way you die, boy.","The D is silent."
Do the Right Thing,Medium,Do_the_Right_Thing.jpg,first,"Yo, Sal, we're gonna boycott your fat pasta ass.",
Dog Day Afternoon,Medium,Dog_Day_Afternoon.jpg,last,"Put those guns down! Attica! Attica! You got it, man!",
Donnie Brasco,Medium,Donnie_Brasco.jpg,first,"When I introduce you, I'm gonna say, This is a friend of mine. That means you're a connected guy. Now if I said instead, this is a friend of ours that would mean you a made guy. A Capiche?"
Donnie Darko,Medium,Donnie_Darko.jpg,first,"Why are you wearing that stupid bunny suit?",
Drive,Medium,Drive.jpg,first,"There's a hundred-thousand streets in this city. You don't need to know the route. You give me a time and a place, I give you a five minute window. Anything happens in that five minutes and I'm yours."
Eastern Promises,Medium,Eastern_Promises.jpg,last,"I'm the driver.",
Edward Scissorhands,Easy,Edward_Scissorhands.jpg,last,"You see, before he came down here, it never snowed. And afterwards, it did.","My, those are your hands? Those are your hands! What happened to you?"
Eraserhead,Medium,Eraserhead.jpg,first,"This dinner's getting mighty cold.",
Escape From New York,Hard,Escape_from_New_York.jpg,first,"The Duke? The Duke of New York, A-Number-1, the Big Man, that's who!",
Everything Everywhere All at Once,Hard,Everything_Everywhere_All_at_Once.jpg,last,"I've seen thousands of Evelyns, but never a Evelyn like you.",
Ex Machina,Medium,Ex_Machina.jpg,last,"C'mon buddy. After a long day of Turing tests you gotta unwind."
Eyes Wide Shut,Medium,Eyes_Wide_Shut.jpg,first,"Fidelio.",
Fargo,Medium,Fargo.jpg,last,"Hey, Norm.",
Fast Times at Ridgemont High,Hard,Fast_Times_at_Ridgemont_High.jpg,last,"All I need are some tasty waves, a cool buzz"", and I'm fine.",
Fear and Loathing in Las Vegas,Medium,Fear_and_Loathing_in_Las_Vegas.jpg,last,"We can't stop here. This is bat country.",
Fight Club,Easy,Fight_Club.jpg,last,"It must've been Tuesday. He was wearing his cornflower blue tie.","His name was Robert Pulson."
Five Easy Pieces,Hard,Five_Easy_Pieces.jpg,first,"A number two, a chicken salad sand. Hold the butter, the lettuce, and the mayonnaise, and a cup of coffee. Anything else?",
Forrest Gump,Easy,Forrest_Gump.jpg,first,"Stupid is as stupid does.",
Four Weddings and a Funeral,Easy,Four_Weddings_and_a_Funeral.jpg,first,"Ehm, look. Sorry, sorry. I just, ehm, well, this is a very stupid question and... , particularly in view of our recent shopping excursion, but I just wondered, by any chance, ehm, eh,",
From Dusk Till Dawn,Medium,From_Dusk_Till_Dawn.jpg,last,"Now, let's kill that fucking band.",
Full Metal Jacket,Medium,Full_Metal_Jacket.jpg,first,"Git some! Git some! Git some, yeah, yeah, yeah! Anyone who runs, is a VC.",
Gangs of New York,Hard,Gangs_of_New_York.jpg,last,"At my challenge, by the ancient laws of combat, we have met at this chosen ground, to settle for good and all who holds sway over the Five Points.",
Get Out,Medium,Get_Out.jpg,first,"Now, You're In The Sunken Place.",
Ghostbusters,Easy,Ghostbusters.jpg,first,"Who you gonna call?"
Gladiator,Easy,Gladiator.jpg,first,"Are you not entertained?","My name is Maximus Decimus Meridius, commander of the Armies of the North, General of the Felix Legions and loyal servant to the true emperor, Marcus Aurelius."
Gone Girl,Easy,Gone_Girl.jpg,first,"Want to test your marriage for weak spots? Add one recession, subtract two jobs. It's surprisingly effective.","I'm so much happier now that I'm dead."
Good Time,Medium,Good_Time.jpg,last,"My brother, yeah? Something happened. He's been arrested, he's being held at Rikers Island.",
Good Will Hunting,Hard,Good_Will_Hunting.jpg,last,"It's not your fault.",
Goodfellas,Easy,Goodfellas.jpg,last,"Funny how? What's funny about it?","As far back as I can remember, I always wanted to be a gangster."
Groundhog Day,Easy,Groundhog_Day.jpg,first,"Hey! Phil? Phil? Hey! Phil Connors!","Do you ever have dejavu, Mrs. Lancater?"
Halloween,Easy,Halloween.jpg,last,"It was the Boogeyman.","You've fooled them, haven't you, Michael? But not me."
Hannibal,Hard,Hannibal.jpg,last,"Not to try is not to know.",
Heat,Medium,Heat.jpg,last,"Well ya know"", for me, the action is the juice.",
Hellraiser,Hard,Hellraiser.jpg,last,"Come... to daddy!",
Her,Easy,Her.jpg,first,"I've never loved anyone the way I loved you.",
Hereditary,Medium,Hereditary.jpg,last,"You... are Paimon. One of the eight kings of Hell. We have looked to the northwest and called you in.",
Home Alone,Easy,Home_Alone.png,first,"Guys, I'm eating junk and watching rubbish! You better come out and stop me!","You bomb me with one more can, kid, and I'll snap off your cajones and boil them in motor oil!"
Hot Fuzz,Easy,Hot_Fuzz.jpg,last,"Evrybody and their mums is packin' round 'ere.","The greater good..."
Hunger,Hard,Hunger.jpg,last,"Bit of a break from smokin' the Bible, eh?",
In the Name of the Father,Hard,In_the_Name_of_the_Father.jpg,first,"Next time you'll see Belfast, they'll be flying day trips to the moon.",
Inception,Easy,Inception.jpg,last,"Don't you want to take a leap of faith? Or become an old man, filled with regret, waiting to die alone!","Dreams feel real while we're in them. It's only when we wake up that we realize something was actually strange."
Inglourious Basterds,Easy,Inglourious_Basterds.jpg,first,"Arriverderci.","Each and every man under my command owes me one hundred Nazi scalps"
Interstellar,Medium,Interstellar.jpg,first,"We used to look up at the sky and wonder at our place in the stars. Now we just look down, and worry about our place in the dirt.",
Into the Wild,Hard,Into_the_Wild.jpg,last,"Two years he walks the earth. No phone, no pool, no pets, no cigarettes. Ultimate freedom. An extremist. An aesthetic voyager whose home is the road.",
Jackie Brown,Easy,Jackie_Brown.jpg,first,"That's Beaumont.","Here we go. AK-47. The very best there is. When you absolutely, positively got to kill every motherfucker in the room, accept no substitutes."
Jaws,Easy,Jaws.jpg,last,"You're gonna need a bigger boat.","So, eleven hundred men went into the water, three hundred sixteen men come out, and the sharks took the rest."
JFK,Easy,JFK.jpg,first,"The Warren Commission thought they had an open-and-shut case. Three bullets, one assassin.","And who killed the President?"
John Wich,Easy,John_Wick.jpg,last,"They call him Baba Yaga.","You killed his dog?"
Joker,Easy,Joker.jpg,first,"I used to think that my life was a tragedy, but now I realize, it's a fucking comedy.","What's so funny?"
Jurassic Park,Easy,Jurassic_Park.png,first,"All major theme parks have delays. When they opened Disneyland in 1956, nothing worked!","God creates dinosaurs. God destroys dinosaurs. God creates man. Man destroys God. Man creates dinosaurs."
Kids,Medium,Kids.jpg,last,"Virgins. I love 'em.",
Kramer vs Kramer,Medium,Kramer_vs_Kramer.jpg,first,"When's Mommy coming back?",
LA Confidential,Medium,LA_Confidential.jpg,last,"Fleur-de-Lis - Whatever you desire."
La La Land,Hard,La_La_Land.jpg,first,"I guess I'll see you in the movies.",
Layer Cake,Medium,Layer_Cake.jpg,last,"England. Typical. Even drug dealers don't work weekends.",
Leave No Trace,Hard,Leave_No_Trace.jpg,first,"What if the kids at school think I'm strange 'cause of the way we were living?",
Leaving Las Vegas,Hard,Leaving_Las_Vegas.jpg,last,"Are you saying that your drinking is a way to kill yourself?",
Leon,Easy,Leon.jpg,first,"Bring me EVERYONE!",
Life of Brian,Easy,Life_of_Brian.jpg,first,"He's not the Messiah. He's a very naughty boy! Now, piss off!",
Little Miss Sunshine,Easy,Little_Miss_Sunshine.jpg,first,"Fuck beauty contests. Life is one fucking beauty contest after another.",
Lock Stock and Two Smoking Barrels,Medium,Lock_Stock_and_Two_smoking_Barrels.jpg,last,"It's been emotional.",
Logan,Hard,Logan.jpg,last,"Nature made me a freak. Man made me a weapon. And God made it last too long.",
Longlegs,Hard,Longlegs.jpg,first,"Are you still saying your prayers? Our prayers protect us from the devil.",
Lost in Translation,Medium,Lost_in_Translation.jpg,first,"You're probably just having a mid-life crisis. Did you buy a Porsche yet?",
Mad Max Fury Road,Medium,Mad_Max_Fury_Road.jpg,first," My name is Max. My world is fire and blood. Once, I was a cop. A road warrior searching for a righteous cause.",
Magic Mike,Easy,Magic_Mike.jpg,first,"Fact is, the law says you cannot touch!","But I think I see a lotta law breakers up in this house tonight..."
Magnolia,Hard,Magnolia.jpg,first,"Why are frogs falling from the sky?",
Malcolm X,Medium,Malcolm_X.jpg,first,"By any means necessary.",
Mandy,Medium,Mandy.jpg,last,"Black Skulls. Black Skulls. Lookit, man. For a while now words been coming down from the big rigs... something dark and fearsome out there.",
Marathon Man,Hard,Marathon_Man.jpg,first,"is it safe?",
Mean Girls,Medium,Mean_Girls.jpg,last,"That is so fetch!",
Memento,Medium,Memento.jpg,first,"Remember Sammy Jankis.",
Menace 2 Society,Hard,Menace_2_Society.jpg,first,"Hurry up and buy!"
Midsommar,Hard,Midsommar.jpg,first,"We view life as a circle, a recycle.",
Million Dollar Baby,Hard,Million_Dollar_Baby.jpg,last,"You damn right. I found you a fighter. You made her the best fighter she could be."
Minority Report,Medium,Minority_Report.jpg,first,"Can you see?",
Moneyball,Medium,Moneyball.jpg,first,"This is a process. It's a process, it's a process.",
Moonlight,Medium,Moonlight.jpg,last,"At some point, you gotta decide for yourself who you gonna be. Can't let nobody make that decision for you.",
Moonrise Kingdom,Medium,Moonrise_Kingdom.jpg,first,"Why do you always use binoculars?"
Mulholland Drive,Hard,Mulholland_Drive.jpg,first,"It'll be just like in the movies. We'll pretend to be someone else.",
Network,Hard,Network.jpg,last,"But first get up out of your chairs, open the window, stick your head out, and yell"", and say it.",
No Country for Old Men,Easy,No_Country_for_Old_Men.jpg,first,"My grandfather was a lawman; father too. Me and him was sheriffs at the same time.","What's the most you ever lost on a coin toss?"
North by Northwest,Medium,North_by_Northwest.jpg,last,"That's funny, that plane's dustin' crops where there ain't no crops.",
Oceans Eleven,Medium,Oceans_Eleven.jpg,last,"You'd need at least a dozen guys doing a combination of cons.",
Office Space,Medium,Office_Space.jpg,last,"Corporate accounts payable, Nina speaking. *JUST* a moment.",
One Flew Over the Cukoos Nest,Medium,One_Flew_Over_the_Cuckoos_Nest.jpg,first,"Goddamn it Chief, you're about as big as a damn mountain!",
Oppenheimer,Medium,Oppenheimer.jpg,last,"Now I am become Death, the destroyer of worlds",
Pain and Gain,Medium,Pain_and_Gain.jpg,first," My name is Daniel Lugo, and I believe in fitness",
Paranormal Activity,Medium,Paranormal_Activity.jpg,first,"What if we just get this Ouija board and we find out what it wants and then we give it what it wants? Then it's gone.",
Paris Texas,Hard,Paris_Texas.jpg,first,"The Dust has come to stay. You may stay or pass on through or whatever.",
Point Break,Medium,Point_Break.jpg,last,"Back off Warchild, seriously.",
Poor Things,Medium,Poor_Things.jpg,first,"I must go punch that baby.",
Predator,Hard,Predator.jpg,last,"What's the matter, the CIA got you pushing too many pencils?",
Prisoners,Hard,Prisoners.jpg,last,"Making children disappear is the war we wage with God.",
Prometheus,Easy,Prometheus.jpg,first,"Big things have small beginnings.",
Pulp Fiction,Easy,Pulp_fiction.jpg,first,"Z's dead baby. Z's dead.",
Punch Drunk Love,Medium,Punch_Drunk_Love.jpg,first,"shut, shut, shut, shut, shut, SHUT UP!",
Raging Bull,Easy,Raging_Bull.jpg,last,"You didn't get me down, Ray.",
Raiders of the Lost Ark,Medium,Raiders_of_the_Lost_Ark.jpg,last,"The Ark of the Covenant, the chest that the Hebrews used to carry around the Ten Commandments.",
Rebel Without a Cause,Medium,Rebel_Without_a_Cause.jpg,last,"You're tearing me apart!",
Remember the Titans,Medium,Remember_the_Titans.jpg,last,"The best player will play, color won't matter",
Rescue Dawn,Hard,Rescue_Dawn.jpg,last,"No, I never wanted to go to war. I just wanted to fly.",
Reservoir Dogs,Easy,Reservoir_Dogs.jpg,last,"Larry, stop pointin' that fuckin' gun at my Dad!","Hey, why am I Mr. Pink?"
Road to Perdition,Medium,Road_to_Perdition.jpg,last,"It's all so fuckin' hysterical.",
Robocop,Hard,Robocop.jpg,first,"I'd buy that for a dollar!",
Rocky,Easy,Rocky.jpg,first,"Ain't gonna be no rematch.","You'd better stop this fight! You ain't nothin' but a bum!"
Romeo and Juliet,Hard,Romeo_and_Juliet.jpg,first,"Two households, both alike in dignity, in fair Verona, where we lay our scene.",
Room,Hard,Room.jpg,first,"There's room, then outer space, with all the TV planets, then heaven. Plant is real, but not trees. Spiders are real, and one time the mosquito that was sucking my blood. But squirrels and dogs are just TV, except lucky.",
Rosemarys Baby,Medium,Rosemarys_Baby.jpg,last,"He chose you, honey! From all the women in the world to be the mother of his only living son!",
Rumble Fish,Hard,Rumble_Fish.jpg,last,"You always try so hard to be like your brother, Rusty James.",
Saint Maud,Hard,Saint_Maud.jpg,last,"You must be the loneliest girl I've ever seen.",
Saltburn,Hard,Saltburn.jpg,first,"So... red staircase. I accidentally fingered my cousin here. Henry VII's cabinet... Ghost of Granny, hi, Granny! Green room. Gardens. Some fucking hideous Rubens. Broken piano. Uhh, blue room. It's blue. And... King's bedroom.",
Saturday Night Fever,Easy,Saturday_Night_Fever.jpg,first,"Would ya just watch the hair.","I'll dance with you, but it's not like you're my dream girl or nothin'."
Saving Private Ryan,Easy,Saving_Private_Ryan.jpg,last,"James Francis Ryan of Iowa?",""
Saw,Medium,Saw.jpg,last,"I want to play a game."
Schindlers List,Easy,Schindlers_List.jpg,first,"This list... is an absolute good. The list is life. All around its margins lies the gulf.","Whoever saves one life, saves the world entire"
Scream,Hard,Scream.jpg,first,"My mom and dad are gonna be so mad at me!","FUBAR."
Seven,Easy,Seven.jpg,last,"This guy's methodical, exacting, and worst of all, patient.","What's in the box?"
Sexy Beast,Easy,Sexy_Beast.jpg,first,"Oh, yeah. Bloody hell. I'm sweating in here. Roasting. Boiling. Baking. Sweltering. It's like a sauna. Furnace. You can fry an egg on my stomach.","Where there's a will - and there is a fucking will - there's a way - and there is a fucking way."
Shaun of the Dead,Easy,Shaun_of_the_Dead.jpg,first,"Okay. But dogs CAN look up!","Any zombies out there?"
Shutter Isalnd,Medium,Shutter_Island.jpg,last,"I am a federal Marshall. They can't stop me.",
Sicario,Hard,Sicario.jpg,first,"Gotta get you a new bra, woman.",
Sideways,Medium,Sideways.jpg,first,"I'm Not Drinking Any #@%$ Merlot!",
Sin City,Medium,Sin_City.jpg,last,"Goldie. She says her name is Goldie.",
Skyfall,Easy,Skyfall.jpg,last,"Welcome to Scotland!","So 007, ready to get back to work?"
Snatch,Easy,Snatch.jpg,first,"No thank you, Turkish; I'm sweet enough.","I fucking hate pikies."
Snowpiercer,Medium,Snowpiercer.jpg,first,"The front and the tail are supposed to work together.",
Spotlight,Medium,Spotlight.jpg,last,"If it takes a village to raise a child, it takes a village to abuse one.",
Stand By Me,Easy,Stand_By_Me.jpg,first,"Suck my fat one, you cheap dime store hood.","My father stormed the beaches of Normandy."
Step Brothers,Easy,Step_Brothers.jpg,first,"Call me dragon.","Did you touch my drumset?"
Steve Jobs,Medium,Steve_Jobs.jpg,last,"Everyone, everyone, everyone. Everyone is waiting for the Mac.",
Submarine,Medium,Submarine.jpg,last,"I decided to soften the blow with some light arson.",
Sunshine,Easy,Sunshine.jpg,last,"Hey Capa, we're only stardust.","Our sun is dying. Mankind faces extinction. Seven years ago the Icarus project sent a mission to restart the sun."
Superbad,Easy,Superbad.jpg,last,"My brother came all the way from Scottsdale, Arizona to be here tonight and you're not gonna sing for him","I am McLovin"
Talk to Me,Medium,Talk_to_Me.jpg,last,"I let you in.",
Taxi Driver,Easy,Taxi_Driver.jpg,last,"You talkin' to me?"
Terminator 2,Easy,Terminator_2.jpg,last,"I need your clothes, your boots and your motorcycle.","Hasta La Vista, Baby!"
The Aviator,Medium,The_Aviator.jpg,first,"The way of the future..."
The Banshees of Inisherin,Medium,The_Banshees_of_Inisherin.jpg,last,"Do you think God gives a damn about miniature donkeys, Colm?",
The Beach,Easy,The_Beach.jpg,first,"No offence an' all, but, you're fucked in the head, right?","So never refuse an invitation, never resist the unfamiliar, never fail to be polite and never outstay the welcome."
The Big Lebowski,Easy,The_Big_Lebowski.jpg,last,"Sometimes you eat the bear"", and sometimes, well"", he eats you.","That rug really tied the room together."
The Big Short,Easy,The_Big_Short.jpg,first,"Short everything that man has touched.",
The Blair Witch Project,Medium,The_Blair_Witch_Project.jpg,first,"I see why you like this video camera so much.",
The Blues Brothers,Easy,The_Blues_Brothers.jpg,last,"We're on a mission from God.","t's 106 miles to Chicago, we got a full tank of gas, half a pack of cigarettes, it's dark... and we're wearing sunglasses."
The Color of Money,Medium,The_Color_of_Money.jpg,last,"Money won is twice as sweet as money earned.",
The Conversation,Medium,The_Conversation.jpg,first,"I think he's been recording my telephone.",
The Dark Knight,Medium,The_Dark_Knight.jpg,first,"This is what happens when an unstoppable force meets an immovable object.",
The Deer Hunter,Easy,The_Deer_Hunter.jpg,last,"MAU! MAU! DIDI MAU!","A deer has to be taken with one shot. I try to tell people that but they don't listen."
The Departed,Easy,The_Departed.jpg,first,"Who let this IRA motherfucker in my bar?","She didn't notice us, she must be a cop."
The Disaster Artist,Easy,The_Disaster_Artist.jpg,last,"You are tearing me apart Lisa!","Oh, hey Mark."
The Elephant Man,Hard,The_Elephant_Man.jpg,first,"I AM NOT AN ANIMAL! I AM... A HUMAN BEING! I... AM... A... MAN!",
The Exorcist,Hard,The_Exorcist.jpg,last,"You speak Latin?",
The Favourite,Hard,The_Favourite.jpg,last,"As it turns out, I'm capable of much unpleasantness.",
The Fifth Element,Medium,The_Fifth_Element.jpg,last,"Chi-cken... Good.",
The Florida Project,Hard,The_Florida_Project.jpg,last,"It's only the second week of summer and there's already been a dead fish in the pool.",
The Fugitive,Hard,The_Fugitive.png,first,"I didn't kill my wife.",
The Full Monty,Easy,The_Full_Monty.jpg,last,"Ha! I could just see Little and Large prancing around Sheffield with their widges hanging out. Now that *would* be worth 10 quid...",
The Godfather,Easy,The_Godfather.jpg,first,"I'm gonna make him an offer he can't refuse","Luca Brasi sleeps with the fishes."
The Goonies,Hard,The_Goonies.jpg,last,"Look at this. They've got Mississippi Mud and they've got Chocolate Eruption and they've got what?",
The Grand Budapest Hotel,Easy,The_Grand_Budapest_Hotel.jpg,last,"Keep your hands off my lobby boy!","Forgive me, Monsieur Gustave, I never meant to betray you"
The Green Mile,Hard,The_Green_Mile.jpg,first,"Give you a nickel for that Moon Pie.",
The Hangover,Easy,The_Hangover.jpg,last,"Seriously, I don't care what happens. I don't care if we kill someone. You heard me. It's Sin City. I won't tell a soul","I tend to think of myself as a one-man wolf pack."
The Kings Speech,Easy,The_Kings_Speech.jpg,first,"Because I have a voice!","You still stammered on the 'W'."
The Last Duel,Medium,The_Last_Duel.jpg,last,"The accusation is false. Of course, she made the customary protest, but she is a lady. It was not against her will.",
The Last Samurai,Easy,The_Last_Samurai.jpg,first,"He fought with the Samurai?","Winter, 1877. What does it mean to be Samurai?"
The Lobster,Hard,The_Lobster.jpg,last,"We dance alone. That's why we only play electronic music.",
The Lost Boys,Medium,The_Lost_Boys.jpg,first,"They're only noodles Michael.",
The Matrix,Easy,The_Matrix.jpg,last,"I know Kung-Fu.","You can take the red pill, or the blue pill."
The Peanut Butter Falcon,Hard,The_Peanut_Butter_Falcon.jpg,first,"Tyler, I am going to give you all of my wishes for my birthday.",
The Prestige,Medium,The_Prestige.jpg,last,"Are you watching closely?",
The Revenant,Hard,The_Revenant.jpg,last,"No... Revenge is in God's hands. Not mine.",
The Rock,Hard,The_Rock.jpg,last,"I'm only borrowing your Hum-Vee!",
The Shawshank Redemption,Easy,The_Shawshank_Redemption.jpg,last,"Hope is a dangerous thing. Hope can drive a man insane","Andy crawled to freedom through five hundred yards of shit smelling foulness I can't even imagine."
The Shining,Easy,The_Shining.jpg,last,"Mr. Grady, you were always the caretaker here.","Here's Johnny!"
The Silence of the Lambs,Hard,The_Silence_of_the_Lambs.jpg,last,"Louis Friend? Iron sulfide, also known as fool's gold.",
The Sixth Sense,Hard,The_Sixth_Sense.jpg,last,"I see dead people."
The Social Netowrk,Easy,The_Social_Network.jpg,last,"Drop the 'the', just Facebook. It's cleaner",
The Sound of Music,Easy,The_Sound_of_Music.jpg,first,"The hills are alive with..."
The Stranger,Hard,The_Stranger.jpg,last,"There's A Boy. Out There Alone. Waiting To Be Found.",
The Talented Mr Ripley,Easy,The_Talented_Mr_Ripley.jpg,first,"Dicky Greenleaf?","Why do I think there's never been a Ripley rainy day?"
The Texas Chainsaw Massacre,Easy,The_Texas_Chainsaw_Massacre.jpg,last,"That's the last goddamn hitchhiker I ever pick up.","My family's always been in meat."
The Thing,Hard,The_Thing.jpg,first,"Mac wants the flamethrower!",
The Tree of Life,Hard,The_Tree_of_Life.jpg,last,"Help each other. Love everyone. Every leaf. Every ray of light. Forgive.",
